PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,Batter,BatterSide,Outs,Balls,Strikes,TaggedPitchType,PitchCall,PlayResult,TaggedHitType,RelSpeed
64,2026/3/23,2,2,宮城,Left,9,Left,1,1,0,Cutter,BallCalled,,,
65,2026/3/23,2,3,宮城,Left,9,Left,1,2,0,Fastball,BallCalled,,,
66,2026/3/23,2,4,宮城,Left,9,Left,1,3,0,Slider,InPlay,Out,GroundBall,125
67,2026/3/23,3,1,宮城,Left,1,Left,2,0,0,Fastball,StrikeCalled,,,133
68,2026/3/23,3,2,宮城,Left,1,Left,2,0,1,Fastball,FoulBallFieldable,,,
69,2026/3/23,3,3,宮城,Left,1,Left,2,0,2,Slider,StrikeSwinging,Strikeout,,127
1,2026/3/23,1,1,小松,Right,2,Right,0,0,0,Slider,BallCalled,,,125
2,2026/3/23,1,2,小松,Right,2,Right,0,1,0,Slider,FoulBallFieldable,,,128
3,2026/3/23,1,3,小松,Right,2,Right,0,1,1,Slider,BallCalled,,,
4,2026/3/23,1,4,小松,Right,2,Right,0,2,1,Slider,BallCalled,,,130
5,2026/3/23,1,5,小松,Right,2,Right,0,3,1,Slider,StrikeCalled,,,125
6,2026/3/23,1,6,小松,Right,2,Right,0,3,2,Slider,StrikeSwinging,Strikeout,,128
7,2026/3/23,2,1,小松,Right,3,Left,1,0,0,Slider,BallCalled,,,126
8,2026/3/23,2,2,小松,Right,3,Left,1,1,0,Slider,StrikeSwinging,,,130
9,2026/3/23,2,3,小松,Right,3,Left,1,1,1,Slider,StrikeCalled,,,129
10,2026/3/23,2,4,小松,Right,3,Left,1,1,2,Splitter,BallCalled,,,133
11,2026/3/23,2,5,小松,Right,3,Left,1,2,2,Fastball,StrikeSwinging,Strikeout,,
12,2026/3/23,3,1,小松,Right,4,Left,2,0,0,Slider,BallCalled,,,127
13,2026/3/23,3,2,小松,Right,4,Left,2,1,0,Slider,BallCalled,,,126
14,2026/3/23,3,3,小松,Right,4,Left,2,2,0,Fastball,BallCalled,,,135
